neighbourhood_cleansed,room_type,minimum_nights,count,mean,std,min,25%,50%,75%,max,mode
Indre By,Entire home/apt,5,158.0,1612.4683544303798,862.8582901777586,550.0,1016.25,1385.5,1842.75,6000.0,1200.0
Indre By,Entire home/apt,6,41.0,1323.3170731707316,463.91456320234175,700.0,1000.0,1200.0,1550.0,2800.0,1200.0
Indre By,Entire home/apt,7,60.0,1653.8666666666666,923.9634130746547,413.0,1042.75,1285.0,2112.5,5000.0,1500.0
Indre By,Entire home/apt,8,2.0,950.0,70.71067811865476,900.0,925.0,950.0,975.0,1000.0,900.0
Indre By,Entire home/apt,9,2.0,1350.0,636.3961030678928,900.0,1125.0,1350.0,1575.0,1800.0,900.0
Indre By,Entire home/apt,10,12.0,1127.3333333333333,390.2713119993538,629.0,848.0,1050.0,1312.5,2000.0,1500.0
Indre By,Entire home/apt,12,2.0,762.5,477.29707730091957,425.0,593.75,762.5,931.25,1100.0,425.0
Indre By,Entire home/apt,13,1.0,1100.0,,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
Indre By,Entire home/apt,14,10.0,1887.8,1995.9028477803668,450.0,1000.0,1350.0,1750.0,7429.0,1000.0
Indre By,Entire home/apt,15,1.0,1686.0,,1686.0,1686.0,1686.0,1686.0,1686.0,1686.0
Indre By,Entire home/apt,20,5.0,1205.8,449.60115658214227,899.0,1000.0,1036.0,1094.0,2000.0,899.0
Indre By,Entire home/apt,21,1.0,1300.0,,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0
Indre By,Entire home/apt,25,1.0,550.0,,550.0,550.0,550.0,550.0,550.0,550.0
Indre By,Entire home/apt,28,1.0,1100.0,,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
Indre By,Entire home/apt,29,2.0,900.0,141.4213562373095,800.0,850.0,900.0,950.0,1000.0,800.0
Indre By,Entire home/apt,30,6.0,981.3333333333334,357.58896328978983,500.0,778.75,974.0,1146.0,1523.0,500.0
Indre By,Entire home/apt,40,1.0,810.0,,810.0,810.0,810.0,810.0,810.0,810.0
Indre By,Entire home/apt,58,1.0,385.0,,385.0,385.0,385.0,385.0,385.0,385.0
Indre By,Entire home/apt,60,5.0,991.4,556.5696721884871,450.0,650.0,800.0,1200.0,1857.0,450.0
Indre By,Entire home/apt,80,1.0,350.0,,350.0,350.0,350.0,350.0,350.0,350.0
Indre By,Entire home/apt,120,2.0,1263.0,18.384776310850235,1250.0,1256.5,1263.0,1269.5,1276.0,1250.0
Indre By,Entire home/apt,150,1.0,495.0,,495.0,495.0,495.0,495.0,495.0,495.0
Indre By,Entire home/apt,174,1.0,380.0,,380.0,380.0,380.0,380.0,380.0,380.0
Indre By,Entire home/apt,300,1.0,1490.0,,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0
Indre By,Entire home/apt,400,1.0,990.0,,990.0,990.0,990.0,990.0,990.0,990.0
Indre By,Hotel room,1,10.0,1077.2,654.2550980568155,204.0,393.5,1306.0,1553.75,1862.0,1306.0
Indre By,Private room,1,34.0,779.8529411764706,474.80427433889145,200.0,501.0,589.0,900.0,2093.0,575.0
Indre By,Private room,2,40.0,651.9,286.54670716065715,361.0,490.75,580.0,750.0,2000.0,500.0
Indre By,Private room,3,24.0,729.4166666666666,410.67779782110017,165.0,510.0,654.5,817.75,2012.0,450.0
Indre By,Private room,4,6.0,489.3333333333333,284.25598791699474,195.0,320.0,440.0,542.75,1004.0,195.0
Indre By,Private room,5,2.0,619.0,268.70057685088807,429.0,524.0,619.0,714.0,809.0,429.0
Indre By,Private room,6,3.0,465.6666666666667,120.23449310964526,350.0,403.5,457.0,523.5,590.0,350.0
Indre By,Private room,7,3.0,340.0,149.33184523068078,170.0,285.0,400.0,425.0,450.0,170.0
Indre By,Private room,15,1.0,334.0,,334.0,334.0,334.0,334.0,334.0,334.0
Indre By,Private room,20,11.0,969.1818181818181,226.7623505707322,580.0,816.0,996.0,1165.0,1250.0,580.0
Indre By,Private room,21,1.0,230.0,,230.0,230.0,230.0,230.0,230.0,230.0
Indre By,Private room,90,1.0,297.0,,297.0,297.0,297.0,297.0,297.0,297.0
Indre By,Private room,99,1.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
Indre By,Private room,160,1.0,260.0,,260.0,260.0,260.0,260.0,260.0,260.0
Indre By,Shared room,1,4.0,292.0,67.57711644237764,223.0,265.0,280.0,307.0,385.0,223.0
Nørrebro,Entire home/apt,1,211.0,1134.8388625592418,973.8727220088803,308.0,789.0,950.0,1200.0,12500.0,800.0
Nørrebro,Entire home/apt,2,536.0,1047.669776119403,436.44678418022306,328.0,775.0,950.0,1200.0,3189.0,1000.0
Nørrebro,Entire home/apt,3,506.0,1073.2430830039525,596.7444203089647,350.0,799.0,950.0,1200.0,7429.0,800.0
Nørrebro,Entire home/apt,4,274.0,1036.8357664233577,524.7531134461124,310.0,750.0,971.0,1197.5,6000.0,1000.0
Nørrebro,Entire home/apt,5,181.0,1074.8397790055249,540.4486220497805,400.0,750.0,950.0,1200.0,5000.0,800.0
Nørrebro,Entire home/apt,6,58.0,914.6724137931035,396.6053935248722,216.0,679.0,850.0,1012.5,2250.0,500.0
Nørrebro,Entire home/apt,7,54.0,939.3888888888889,461.55227904248096,350.0,661.25,850.0,1050.0,3300.0,1000.0
Nørrebro,Entire home/apt,8,3.0,812.3333333333334,388.981147786539,387.0,643.5,900.0,1025.0,1150.0,387.0
Nørrebro,Entire home/apt,9,3.0,757.3333333333334,64.46963109351049,707.0,721.0,735.0,782.5,830.0,707.0
Nørrebro,Entire home/apt,10,13.0,837.5384615384615,238.46579607448086,500.0,700.0,750.0,940.0,1400.0,700.0
Nørrebro,Entire home/apt,12,3.0,778.6666666666666,106.26539104211368,677.0,723.5,770.0,829.5,889.0,677.0
Nørrebro,Entire home/apt,13,1.0,550.0,,550.0,550.0,550.0,550.0,550.0,550.0
Nørrebro,Entire home/apt,14,14.0,892.1428571428571,394.69693478626147,450.0,700.0,800.0,1069.75,2000.0,800.0
Nørrebro,Entire home/apt,15,2.0,819.5,98.2878425849301,750.0,784.75,819.5,854.25,889.0,750.0
Nørrebro,Entire home/apt,16,1.0,635.0,,635.0,635.0,635.0,635.0,635.0,635.0
Nørrebro,Entire home/apt,17,1.0,780.0,,780.0,780.0,780.0,780.0,780.0,780.0
Nørrebro,Entire home/apt,20,5.0,744.0,185.24983130896504,480.0,700.0,750.0,795.0,995.0,480.0
Nørrebro,Entire home/apt,21,4.0,668.75,298.8415131804817,335.0,458.75,695.0,905.0,950.0,335.0
Nørrebro,Entire home/apt,22,2.0,450.0,141.4213562373095,350.0,400.0,450.0,500.0,550.0,350.0
Nørrebro,Entire home/apt,25,1.0,950.0,,950.0,950.0,950.0,950.0,950.0,950.0
Nørrebro,Entire home/apt,27,1.0,720.0,,720.0,720.0,720.0,720.0,720.0,720.0
Nørrebro,Entire home/apt,29,1.0,590.0,,590.0,590.0,590.0,590.0,590.0,590.0
Nørrebro,Entire home/apt,30,3.0,619.0,271.82899035974805,333.0,491.5,650.0,762.0,874.0,333.0
Nørrebro,Entire home/apt,35,1.0,588.0,,588.0,588.0,588.0,588.0,588.0,588.0
Nørrebro,Entire home/apt,50,2.0,574.5,359.9173516239527,320.0,447.25,574.5,701.75,829.0,320.0
Nørrebro,Entire home/apt,60,2.0,524.5,105.35891039679558,450.0,487.25,524.5,561.75,599.0,450.0
Nørrebro,Entire home/apt,75,1.0,951.0,,951.0,951.0,951.0,951.0,951.0,951.0
Nørrebro,Entire home/apt,90,1.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
Nørrebro,Entire home/apt,91,1.0,500.0,,500.0,500.0,500.0,500.0,500.0,500.0
Nørrebro,Entire home/apt,360,1.0,500.0,,500.0,500.0,500.0,500.0,500.0,500.0
Nørrebro,Entire home/apt,500,1.0,579.0,,579.0,579.0,579.0,579.0,579.0,579.0
